-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.026,  0.181
-183.800, 80.197, 0.029,  0.214
-183.800, 80.196, 0.039,  0.247
-183.800, 80.191, 0.153,  0.280
-183.800, 80.182, 0.253,  0.313
-183.800, 80.171, 0.323,  0.346
-183.800, 80.156, 0.455,  0.379
-183.800, 80.137, 0.579,  0.412
-183.800, 80.115, 0.684,  0.445
-183.800, 80.088, 0.794,  0.478
-183.800, 80.057, 0.945,  0.511
-183.800, 80.022, 1.076,  0.544
-183.800, 79.982, 1.214,  0.577
-183.800, 79.938, 1.337,  0.610
-183.800, 79.890, 1.449,  0.643
-183.800, 79.839, 1.529,  0.676
-183.801, 79.786, 1.604,  0.709
-183.801, 79.731, 1.671,  0.742
-183.801, 79.675, 1.719,  0.775
-183.801, 79.617, 1.748,  0.808
-183.801, 79.559, 1.754,  0.841
-183.801, 79.501, 1.744,  0.874
-183.801, 79.445, 1.722,  0.907
-183.801, 79.389, 1.691,  0.940
-183.801, 79.334, 1.654,  0.973
-183.801, 79.281, 1.613,  1.006
-183.801, 79.230, 1.545,  1.039
-183.801, 79.180, 1.499,  1.072
-183.802, 79.132, 1.466,  1.105
-183.802, 79.084, 1.448,  1.138
-183.802, 79.036, 1.447,  1.171
-183.802, 78.988, 1.460,  1.204
-183.802, 78.938, 1.487,  1.237
-183.802, 78.888, 1.524,  1.270
-183.802, 78.836, 1.568,  1.303
-183.802, 78.782, 1.619,  1.336
-183.802, 78.726, 1.674,  1.369
-183.802, 78.668, 1.731,  1.402
-183.802, 78.609, 1.782,  1.435
-183.803, 78.549, 1.813,  1.468
-183.803, 78.488, 1.825,  1.501
-183.803, 78.427, 1.818,  1.534
-183.803, 78.367, 1.798,  1.567
-183.803, 78.308, 1.768,  1.600
-183.803, 78.251, 1.731,  1.633
-183.803, 78.195, 1.689,  1.666
-183.803, 78.141, 1.622,  1.699
-183.803, 78.088, 1.578,  1.732
